Hypothesis,Season,Comparison,Adjusted_p,Significant
H1,2024-25,DF vs FW,2.7971301879837427e-115,True
H1,2024-25,DF vs MF,1.1198162188729559e-14,True
H1,2024-25,FW vs MF,8.190078297877164e-53,True
H1,2025-26,DF vs FW,1.217249401470755e-103,True
H1,2025-26,DF vs MF,1.1754809284208518e-28,True
H1,2025-26,FW vs MF,2.342763911694949e-44,True
H1,2026-27,DF vs FW,0.002222468131389096,True
H1,2026-27,DF vs MF,0.7771902584871596,False
H1,2026-27,FW vs MF,0.005558333754013066,True
H2,2024-25,DF vs FW,1.524348328640066e-109,True
H2,2024-25,DF vs MF,1.8522775180754425e-19,True
H2,2024-25,FW vs MF,4.684916674226051e-43,True
H2,2025-26,DF vs FW,3.866397300577502e-102,True
H2,2025-26,DF vs MF,4.0000341333933364e-47,True
H2,2025-26,FW vs MF,4.498773206982012e-30,True
